inspector,repo,pr_number,category,pr_url,commit,commit_url,initial_flag,refactoring_type,refactoring_detail,confirmed_refactoring_flag,covered_refactoring_flag,floss_refactoring_flag,direct_review_comment_flag,discussion_flag,notes
,apache/beam,6261,refactoring-inducing PR,https://github.com/apache/beam/pull/6261,596dae5130d42b2123287e7b6670367bb964c0af,https://github.com/apache/beam/commit/596dae5130d42b2123287e7b6670367bb964c0af,True,,,,,,,,
,apache/beam,6261,refactoring-inducing PR,https://github.com/apache/beam/pull/6261,dbdacba72040f6262d84be96a1aa351b85492ddc,https://github.com/apache/beam/commit/dbdacba72040f6262d84be96a1aa351b85492ddc,False,,,,,,,,
,apache/beam,6261,refactoring-inducing PR,https://github.com/apache/beam/pull/6261,0ba028dd7b668fec66d99db93331b348920c0183,https://github.com/apache/beam/commit/0ba028dd7b668fec66d99db93331b348920c0183,False,Change Attribute Type,bqClient : Bigquery to bqClient : BigqueryClient in class org.apache.beam.sdk.io.gcp.bigquery.BigQueryToTableIT,,,,,,
,apache/beam,6261,refactoring-inducing PR,https://github.com/apache/beam/pull/6261,0ba028dd7b668fec66d99db93331b348920c0183,https://github.com/apache/beam/commit/0ba028dd7b668fec66d99db93331b348920c0183,False,Change Attribute Type,mockBigqueryClient : Bigquery to mockBigqueryClient : BigqueryClient in class org.apache.beam.sdk.io.gcp.testing.BigqueryMatcherTest,,,,,,
,apache/beam,6261,refactoring-inducing PR,https://github.com/apache/beam/pull/6261,0ba028dd7b668fec66d99db93331b348920c0183,https://github.com/apache/beam/commit/0ba028dd7b668fec66d99db93331b348920c0183,False,Extract Class,org.apache.beam.sdk.io.gcp.testing.BigqueryClient from class org.apache.beam.sdk.io.gcp.testing.BigqueryMatcher,,,,,,
,apache/beam,6261,refactoring-inducing PR,https://github.com/apache/beam/pull/6261,0ba028dd7b668fec66d99db93331b348920c0183,https://github.com/apache/beam/commit/0ba028dd7b668fec66d99db93331b348920c0183,False,Extract Class,org.apache.beam.sdk.io.gcp.testing.BigqueryClientTest from class org.apache.beam.sdk.io.gcp.testing.BigqueryMatcherTest,,,,,,
,apache/beam,6261,refactoring-inducing PR,https://github.com/apache/beam/pull/6261,0ba028dd7b668fec66d99db93331b348920c0183,https://github.com/apache/beam/commit/0ba028dd7b668fec66d99db93331b348920c0183,False,Move Method,private getDefaultCredential() : Credentials from class org.apache.beam.sdk.io.gcp.testing.BigqueryMatcher to private getDefaultCredential() : Credentials from class org.apache.beam.sdk.io.gcp.testing.BigqueryClient,,,,,,
,apache/beam,6261,refactoring-inducing PR,https://github.com/apache/beam/pull/6261,0ba028dd7b668fec66d99db93331b348920c0183,https://github.com/apache/beam/commit/0ba028dd7b668fec66d99db93331b348920c0183,False,Move Attribute,package MAX_QUERY_RETRIES : int from class org.apache.beam.sdk.io.gcp.testing.BigqueryMatcher to package MAX_QUERY_RETRIES : int from class org.apache.beam.sdk.io.gcp.testing.BigqueryClient,,,,,,
,apache/beam,6261,refactoring-inducing PR,https://github.com/apache/beam/pull/6261,0ba028dd7b668fec66d99db93331b348920c0183,https://github.com/apache/beam/commit/0ba028dd7b668fec66d99db93331b348920c0183,False,Move Attribute,private INITIAL_BACKOFF : Duration from class org.apache.beam.sdk.io.gcp.testing.BigqueryMatcher to private INITIAL_BACKOFF : Duration from class org.apache.beam.sdk.io.gcp.testing.BigqueryClient,,,,,,
,apache/beam,6261,refactoring-inducing PR,https://github.com/apache/beam/pull/6261,0ba028dd7b668fec66d99db93331b348920c0183,https://github.com/apache/beam/commit/0ba028dd7b668fec66d99db93331b348920c0183,False,Move Attribute,package BACKOFF_FACTORY : FluentBackoff from class org.apache.beam.sdk.io.gcp.testing.BigqueryMatcher to package BACKOFF_FACTORY : FluentBackoff from class org.apache.beam.sdk.io.gcp.testing.BigqueryClient,,,,,,
,apache/beam,6261,refactoring-inducing PR,https://github.com/apache/beam/pull/6261,0ba028dd7b668fec66d99db93331b348920c0183,https://github.com/apache/beam/commit/0ba028dd7b668fec66d99db93331b348920c0183,False,Move Method,public testQueryWithRetriesWhenServiceFails() : void from class org.apache.beam.sdk.io.gcp.testing.BigqueryMatcherTest to public testQueryWithRetriesWhenServiceFails() : void from class org.apache.beam.sdk.io.gcp.testing.BigqueryClientTest,,,,,,
,apache/beam,6261,refactoring-inducing PR,https://github.com/apache/beam/pull/6261,0ba028dd7b668fec66d99db93331b348920c0183,https://github.com/apache/beam/commit/0ba028dd7b668fec66d99db93331b348920c0183,False,Move Method,public testQueryWithRetriesWhenQueryResponseNull() : void from class org.apache.beam.sdk.io.gcp.testing.BigqueryMatcherTest to public testQueryWithRetriesWhenQueryResponseNull() : void from class org.apache.beam.sdk.io.gcp.testing.BigqueryClientTest,,,,,,
,apache/beam,6261,refactoring-inducing PR,https://github.com/apache/beam/pull/6261,0ba028dd7b668fec66d99db93331b348920c0183,https://github.com/apache/beam/commit/0ba028dd7b668fec66d99db93331b348920c0183,False,Move Attribute,private mockJobs : Bigquery.Jobs from class org.apache.beam.sdk.io.gcp.testing.BigqueryMatcherTest to private mockJobs : Bigquery.Jobs from class org.apache.beam.sdk.io.gcp.testing.BigqueryClientTest,,,,,,
,apache/beam,6261,refactoring-inducing PR,https://github.com/apache/beam/pull/6261,0ba028dd7b668fec66d99db93331b348920c0183,https://github.com/apache/beam/commit/0ba028dd7b668fec66d99db93331b348920c0183,False,Move Attribute,private mockQuery : Bigquery.Jobs.Query from class org.apache.beam.sdk.io.gcp.testing.BigqueryMatcherTest to private mockQuery : Bigquery.Jobs.Query from class org.apache.beam.sdk.io.gcp.testing.BigqueryClientTest,,,,,,
,apache/beam,6261,refactoring-inducing PR,https://github.com/apache/beam/pull/6261,2c7e0eaf6336fbcb906dc4219ebb2b6d40cf905b,https://github.com/apache/beam/commit/2c7e0eaf6336fbcb906dc4219ebb2b6d40cf905b,False,,,,,,,,
,apache/beam,6261,refactoring-inducing PR,https://github.com/apache/beam/pull/6261,d1fed6fb5ee1f868479e4a09234b97cec4a4c241,https://github.com/apache/beam/commit/d1fed6fb5ee1f868479e4a09234b97cec4a4c241,False,,,,,,,,
,apache/beam,6261,refactoring-inducing PR,https://github.com/apache/beam/pull/6261,35d809e9a45133d0d8b68b4a170c7ddfae3999cc,https://github.com/apache/beam/commit/35d809e9a45133d0d8b68b4a170c7ddfae3999cc,False,Extract Method,public getNewBigquerryClient(applicationName String) : Bigquery extracted from public BigqueryClient(applicationName String) in class org.apache.beam.sdk.io.gcp.testing.BigqueryClient,,,,,,
,apache/beam,6261,refactoring-inducing PR,https://github.com/apache/beam/pull/6261,35d809e9a45133d0d8b68b4a170c7ddfae3999cc,https://github.com/apache/beam/commit/35d809e9a45133d0d8b68b4a170c7ddfae3999cc,False,Extract And Move Method,"public getClient(applicationName String) : BigqueryClient extracted from public BigqueryMatcher(applicationName String, projectId String, query String, expectedChecksum String) in class org.apache.beam.sdk.io.gcp.testing.BigqueryMatcher & moved to class org.apache.beam.sdk.io.gcp.testing.BigqueryClient",,,,,,
